id_llamada,fecha,hora,id_agente,nombre_agente,turno,area,antiguedad_años,tipo_gestion,canal,provincia_cliente,AHT_segundos,FCR,rellamado_7dias,PEC_error_critico,NPS_score,satisfaccion_agente,ausente,motivo_ausencia,columna_sistema_interno
CALL-02375,2024-05-11,15:30,AG003,Camila Fernández,Noche,Soporte Técnico,5,Cobranza,Inbound,Mendoza,430,1,0,0,9.0,5,0,,SVC_AR_2024
CALL-00531,2024-02-02,08:44,AG012,Ignacio Herrera,Noche,Ventas,2,Cobranza,Inbound,Córdoba,409,1,1,0,10.0,5,0,,SVC_AR_2024
CALL-00801,2024-08-20,12:24,AG015,Carolina Jiménez,Noche,Soporte Técnico,3,Cobranza,Outbound,Tucumán,316,0,1,0,5.0,4,0,,SVC_AR_2024
CALL-04525,2024-01-21,13:56,AG009,Lucía Ramírez,Noche,Atención al Cliente,3,Soporte Técnico,Outbound,Tucumán,567,0,1,0,4.0,5,0,,SVC_AR_2024
CALL-01457,2024-02-25,08:04,AG010,Tomás González,Mañana,Cobranzas,1,Cobranza,Callback,Santa Fe,240,1,0,0,7.0,4,0,,SVC_AR_2024
CALL-01392,2024-01-06,16:02,AG010,Tomás González,Mañana,Cobranzas,1,Soporte Técnico,Callback,CABA,442,1,0,1,4.0,4,0,,SVC_AR_2024
CALL-03650,2024-09-29,17:05,AG013,Micaela Ruiz,Mañana,Atención al Cliente,7,Baja de Servicio,Inbound,Tucumán,337,1,1,0,5.0,3,1,Sin justificar,SVC_AR_2024
CALL-03200,2024-05-09,18:21,AG007,Florencia Torres,Mañana,Soporte Técnico,6,Cobranza,Callback,Tucumán,264,1,1,0,7.0,3,0,,SVC_AR_2024
CALL-02672,2024-08-29,22:11,AG009,Lucía Ramírez,Noche,Atención al Cliente,3,Reclamo,Callback,Rosario,484,1,0,0,7.0,4,0,,SVC_AR_2024
CALL-02813,2024-06-09,13:43,AG013,Micaela Ruiz,Mañana,Atención al Cliente,7,Consulta,Callback,CABA,280,0,0,0,6.0,4,0,,SVC_AR_2024
CALL-00066,2024-07-31,20:21,AG004,Lucas García,Mañana,Ventas,2,Consulta,Outbound,Rosario,248,1,0,0,8.0,4,0,,SVC_AR_2024
CALL-00158,2024-04-24,10:22,AG011,Julieta Morales,Tarde,Soporte Técnico,4,Soporte Técnico,Chat derivado a voz,Mendoza,569,1,0,0,6.0,5,0,,SVC_AR_2024
CALL-03241,2024-08-25,12:57,AG002,Martín Rodríguez,Tarde,Cobranzas,1,Soporte Técnico,Outbound,Santa Fe,526,1,0,0,8.0,2,0,,SVC_AR_2024
CALL-04102,2024-11-05,09:26,AG001,Valentina López,Mañana,Atención al Cliente,3,Baja de Servicio,Inbound,Mendoza,417,1,0,0,7.0,4,0,,SVC_AR_2024
CALL-00627,2024-03-02,19:50,AG005,Sofía Martínez,Tarde,Atención al Cliente,4,Cobranza,Outbound,Córdoba,383,0,0,1,5.0,3,1,,SVC_AR_2024
CALL-01966,2024-12-23,11:03,AG015,Carolina Jiménez,Noche,Soporte Técnico,3,Consulta,Outbound,Córdoba,185,1,0,0,8.0,1,0,,SVC_AR_2024
CALL-01439,2024-12-01,08:14,AG014,Sebastián Castro,Tarde,Cobranzas,1,Cobranza,Callback,Mendoza,376,0,1,0,4.0,2,0,,SVC_AR_2024
CALL-02241,2024-01-09,18:58,AG001,Valentina López,Mañana,Atención al Cliente,3,Consulta,Chat derivado a voz,Santa Fe,219,1,1,0,7.0,5,1,,SVC_AR_2024
CALL-03014,2024-03-04,14:12,AG006,Nicolás Pérez,Noche,Cobranzas,1,Soporte Técnico,Callback,Córdoba,667,1,0,0,10.0,5,0,,SVC_AR_2024
CALL-03907,2024-06-18,21:26,AG012,Ignacio Herrera,Noche,Ventas,2,Venta,Chat derivado a voz,Córdoba,423,1,0,0,7.0,5,0,,SVC_AR_2024
CALL-03519,2024-08-31,19:29,AG013,Micaela Ruiz,Mañana,Atención al Cliente,7,Reclamo,Inbound,Córdoba,341,1,0,0,9.0,4,0,,SVC_AR_2024
CALL-00643,2024-07-31,10:49,AG012,Ignacio Herrera,Noche,Ventas,2,Cobranza,Callback,Tucumán,285,1,0,0,7.0,4,0,,SVC_AR_2024
CALL-01927,2024-05-17,18:58,AG006,Nicolás Pérez,Noche,Cobranzas,1,Reclamo,Outbound,Buenos Aires,389,0,1,0,5.0,5,0,,SVC_AR_2024
CALL-02188,2024-12-30,16:11,AG013,Micaela Ruiz,Mañana,Atención al Cliente,7,Venta,Inbound,CABA,523,1,0,0,7.0,4,0,,SVC_AR_2024
CALL-00684,09/11/2024,08:33,AG006,Nicolás Pérez,Noche,Cobranzas,1,Soporte Técnico,Inbound,Buenos Aires,548,1,0,0,9.0,2,0,,SVC_AR_2024
CALL-00677,2024-07-29,16:28,AG006,Nicolás Pérez,Noche,Cobranzas,1,Soporte Técnico,Chat derivado a voz,Buenos Aires,463,1,0,1,8.0,4,0,,SVC_AR_2024
CALL-01895,2024-09-01,09:36,AG013,Micaela Ruiz,Mañana,Atención al Cliente,7,Consulta,Callback,Rosario,171,1,0,0,5.0,3,0,,SVC_AR_2024
CALL-01877,2024-08-31,15:34,AG013,Micaela Ruiz,Mañana,Atención al Cliente,7,Consulta,Inbound,Santa Fe,247,1,0,0,9.0,2,0,,SVC_AR_2024
CALL-01058,2024-09-10,22:17,AG012,Ignacio Herrera,Noche,Ventas,2,Soporte Técnico,Inbound,Buenos Aires,438,1,0,0,9.0,4,0,,SVC_AR_2024
CALL-04850,2024-10-10,08:46,AG004,Lucas García,Mañana,Ventas,2,Soporte Técnico,Inbound,Mendoza,622,1,0,0,10.0,3,0,,SVC_AR_2024
CALL-03951,2024-04-24,07:30,AG001,Valentina López,Mañana,Atención al Cliente,3,Venta,Callback,CABA,358,0,1,0,5.0,2,0,,SVC_AR_2024
CALL-02836,2024-07-09,16:56,AG003,Camila Fernández,Noche,Soporte Técnico,5,Consulta,Chat derivado a voz,Córdoba,238,1,0,0,9.0,5,0,,SVC_AR_2024
CALL-03140,15/04/2024,09:20,AG002,Martín Rodríguez,Tarde,Cobranzas,1,Venta,Outbound,Santa Fe,453,1,0,0,9.0,2,0,,SVC_AR_2024
CALL-00297,2024-12-08,08:48,AG014,Sebastián Castro,Tarde,Cobranzas,1,Consulta,Outbound,CABA,162,1,1,0,4.0,1,0,,SVC_AR_2024
CALL-03363,2024-10-20,21:23,AG005,Sofía Martínez,Tarde,Atención al Cliente,4,Baja de Servicio,Inbound,Tucumán,326,0,0,0,5.0,3,1,,SVC_AR_2024
CALL-03605,2024-06-02,09:06,AG015,Carolina Jiménez,Noche,Soporte Técnico,3,Baja de Servicio,Chat derivado a voz,Santa Fe,399,0,0,0,5.0,4,0,,SVC_AR_2024
CALL-04700,2024-12-26,09:53,AG004,Lucas García,Mañana,Ventas,2,Reclamo,Inbound,Buenos Aires,351,1,0,0,9.0,2,0,,SVC_AR_2024
CALL-04206,2024-06-27,19:09,AG009,Lucía Ramírez,Noche,Atención al Cliente,3,Cobranza,Inbound,Santa Fe,317,0,0,0,4.0,4,0,,SVC_AR_2024
CALL-02381,14/09/2024,13:35,AG015,Carolina Jiménez,Noche,Soporte Técnico,3,Cobranza,Outbound,Santa Fe,290,1,0,0,8.0,3,0,,SVC_AR_2024
CALL-01256,2024-03-21,07:09,AG014,Sebastián Castro,Tarde,Cobranzas,1,Cobranza,Inbound,CABA,374,1,0,0,6.0,4,0,,SVC_AR_2024
CALL-00169,2024-06-09,20:36,AG015,Carolina Jiménez,Noche,Soporte Técnico,3,Consulta,Chat derivado a voz,CABA,221,1,0,0,7.0,4,0,,SVC_AR_2024
CALL-04134,2024-10-03,21:55,AG012,Ignacio Herrera,Noche,Ventas,2,Venta,Callback,Córdoba,440,1,0,0,7.0,4,0,,SVC_AR_2024
CALL-00030,2024-03-26,20:31,AG015,Carolina Jiménez,Noche,Soporte Técnico,3,Reclamo,Inbound,Buenos Aires,464,1,0,0,,4,0,,SVC_AR_2024
CALL-01748,2024-07-31,20:24,AG012,Ignacio Herrera,Noche,Ventas,2,Consulta,Callback,Córdoba,210,1,0,0,7.0,3,0,,SVC_AR_2024
CALL-04984,2024-06-08,08:32,AG012,Ignacio Herrera,Noche,Ventas,2,Soporte Técnico,Callback,Córdoba,480,1,0,0,7.0,5,0,,SVC_AR_2024
CALL-04980,2024-12-16,12:13,AG007,Florencia Torres,Mañana,Soporte Técnico,6,Consulta,Chat derivado a voz,Mendoza,173,1,0,0,8.0,1,0,,SVC_AR_2024
CALL-02112,2024-10-20,12:59,AG005,Sofía Martínez,Tarde,Atención al Cliente,4,Venta,Outbound,Santa Fe,423,0,0,0,3.0,1,1,,SVC_AR_2024
CALL-04816,2024-04-26,11:07,AG014,Sebastián Castro,Tarde,Cobranzas,1,Cobranza,Callback,CABA,189,1,0,0,9.0,5,0,,SVC_AR_2024
CALL-02811,2024-05-12,07:22,AG006,Nicolás Pérez,Noche,Cobranzas,1,Reclamo,Outbound,Santa Fe,413,1,0,0,10.0,5,0,,SVC_AR_2024
CALL-02102,2024-08-07,20:50,AG015,Carolina Jiménez,Noche,Soporte Técnico,3,Soporte Técnico,Inbound,CABA,504,0,1,0,6.0,4,0,,SVC_AR_2024
CALL-01011,2024-08-16,09:54,AG010,Tomás González,Mañana,Cobranzas,1,Soporte Técnico,Outbound,Córdoba,413,1,0,0,5.0,4,0,,SVC_AR_2024
CALL-04631,2024-12-22,18:34,AG009,Lucía Ramírez,Noche,Atención al Cliente,3,Baja de Servicio,Inbound,Rosario,447,0,1,0,5.0,3,0,,SVC_AR_2024
CALL-00545,2024-11-19,07:52,AG014,Sebastián Castro,Tarde,Cobranzas,1,Cobranza,Outbound,CABA,280,0,1,0,,4,0,,SVC_AR_2024
CALL-01742,2024-01-25,07:03,AG006,Nicolás Pérez,Noche,Cobranzas,1,Baja de Servicio,Chat derivado a voz,Mendoza,380,0,0,0,5.0,5,0,,SVC_AR_2024
CALL-03732,2024-06-05,13:40,AG004,Lucas García,Mañana,Ventas,2,Baja de Servicio,Callback,Mendoza,367,1,0,0,4.0,5,0,,SVC_AR_2024
CALL-04817,2024-12-25,16:09,AG005,Sofía Martínez,Tarde,Atención al Cliente,4,Baja de Servicio,Callback,Rosario,483,1,0,0,8.0,4,0,,SVC_AR_2024
CALL-01718,29/10/2024,20:04,AG008,Agustín Sánchez,Tarde,Ventas,2,Soporte Técnico,Callback,Mendoza,529,1,0,0,6.0,5,0,,SVC_AR_2024
CALL-00995,2024-01-25,16:56,AG010,Tomás González,Mañana,Cobranzas,1,Soporte Técnico,Callback,CABA,484,1,0,0,10.0,3,0,,SVC_AR_2024
CALL-04789,2024-01-16,14:36,AG012,Ignacio Herrera,Noche,Ventas,2,Venta,Outbound,Tucumán,429,1,0,0,,4,0,,SVC_AR_2024
CALL-02776,2024-07-05,07:40,AG009,Lucía Ramírez,Noche,Atención al Cliente,3,Venta,Callback,Córdoba,510,1,0,0,8.0,2,0,,SVC_AR_2024
CALL-04060,2024-05-02,16:52,AG003,Camila Fernández,Noche,Soporte Técnico,5,Soporte Técnico,Outbound,CABA,490,1,1,0,3.0,2,0,,SVC_AR_2024
CALL-00024,2024-02-06,08:14,AG004,Lucas García,Mañana,Ventas,2,Consulta,Chat derivado a voz,CABA,60,1,0,0,9.0,2,0,,SVC_AR_2024
CALL-00950,2024-02-12,20:56,AG007,Florencia Torres,Mañana,Soporte Técnico,6,Consulta,Callback,Rosario,152,1,0,0,7.0,4,0,,SVC_AR_2024
CALL-00241,2024-09-13,08:02,AG009,Lucía Ramírez,Noche,Atención al Cliente,3,Soporte Técnico,Callback,Mendoza,446,0,1,0,2.0,1,0,,SVC_AR_2024
CALL-01555,2024-07-07,18:21,AG003,Camila Fernández,Noche,Soporte Técnico,5,Reclamo,Callback,CABA,452,1,0,0,,4,0,,SVC_AR_2024
CALL-01435,2024-12-04,17:53,AG005,Sofía Martínez,Tarde,Atención al Cliente,4,Cobranza,Callback,CABA,268,1,0,0,9.0,3,0,,SVC_AR_2024
CALL-01671,2024-03-23,19:20,AG001,Valentina López,Mañana,Atención al Cliente,3,Reclamo,Chat derivado a voz,Buenos Aires,387,1,0,0,,1,0,,SVC_AR_2024
CALL-00486,2024-07-23,21:17,AG002,Martín Rodríguez,Tarde,Cobranzas,1,Soporte Técnico,Callback,Rosario,515,1,1,0,6.0,5,0,,SVC_AR_2024
CALL-02754,2024-03-24,17:48,AG009,Lucía Ramírez,Noche,Atención al Cliente,3,Reclamo,Callback,Tucumán,480,0,0,0,3.0,2,0,,SVC_AR_2024
CALL-03652,2024-08-15,20:32,AG010,Tomás González,Mañana,Cobranzas,1,Reclamo,Chat derivado a voz,Rosario,447,1,0,0,7.0,3,0,,SVC_AR_2024
CALL-04272,2024-07-03,20:36,AG001,Valentina López,Mañana,Atención al Cliente,3,Venta,Callback,Santa Fe,439,1,0,0,6.0,3,0,,SVC_AR_2024
CALL-00804,2024-11-09,12:36,AG003,Camila Fernández,Noche,Soporte Técnico,5,Baja de Servicio,Inbound,Santa Fe,482,1,0,0,6.0,5,0,,SVC_AR_2024
CALL-03781,2024-05-14,08:27,AG007,Florencia Torres,Mañana,Soporte Técnico,6,Soporte Técnico,Callback,Santa Fe,541,1,0,0,8.0,4,0,,SVC_AR_2024
CALL-01740,2024-10-14,22:39,AG002,Martín Rodríguez,Tarde,Cobranzas,1,Venta,Chat derivado a voz,Rosario,411,1,0,0,8.0,4,0,,SVC_AR_2024
CALL-04016,2024-12-14,12:21,AG011,Julieta Morales,Tarde,Soporte Técnico,4,Cobranza,Callback,Mendoza,238,0,0,0,6.0,2,1,,SVC_AR_2024
CALL-02196,2024-09-26,13:51,AG004,Lucas García,Mañana,Ventas,2,Consulta,Inbound,Tucumán,191,0,1,0,4.0,5,0,,SVC_AR_2024
CALL-00085,2024-12-19,22:41,AG009,Lucía Ramírez,Noche,Atención al Cliente,3,Reclamo,Inbound,CABA,411,0,1,0,7.0,4,0,,SVC_AR_2024
CALL-02124,2024-08-06,10:43,AG009,Lucía Ramírez,Noche,Atención al Cliente,3,Soporte Técnico,Outbound,Rosario,636,1,0,0,8.0,5,0,,SVC_AR_2024
CALL-03017,2024-11-24,10:36,AG014,Sebastián Castro,Tarde,Cobranzas,1,Consulta,Chat derivado a voz,Santa Fe,176,0,1,0,5.0,3,0,,SVC_AR_2024
CALL-02534,2024-03-20,14:34,AG006,Nicolás Pérez,Noche,Cobranzas,1,CONSULTA,Inbound,Buenos Aires,179,0,1,0,3.0,5,0,,SVC_AR_2024
CALL-01872,2024-03-02,13:11,AG001,Valentina López,Mañana,Atención al Cliente,3,Venta,Inbound,Córdoba,389,0,0,0,8.0,5,0,,SVC_AR_2024
CALL-00107,02/12/2024,21:26,AG009,Lucía Ramírez,Noche,Atención al Cliente,3,Consulta,Callback,Tucumán,231,1,0,0,,2,0,,SVC_AR_2024
CALL-03151,2024-01-25,18:24,AG011,Julieta Morales,Tarde,Soporte Técnico,4,Reclamo,Inbound,Rosario,429,1,0,0,8.0,2,0,,SVC_AR_2024
CALL-02990,2024-09-05,19:26,AG005,Sofía Martínez,Tarde,Atención al Cliente,4,Soporte Técnico,Outbound,Córdoba,636,1,0,0,7.0,2,0,,SVC_AR_2024
CALL-01579,2024-10-19,09:40,AG001,Valentina López,Mañana,Atención al Cliente,3,Baja de Servicio,Outbound,Tucumán,0,1,0,1,,4,1,,SVC_AR_2024
CALL-00200,2024-11-23,21:04,AG004,Lucas García,Mañana,Ventas,2,Soporte Técnico,Inbound,Tucumán,469,0,1,0,5.0,2,0,,SVC_AR_2024
CALL-04412,24/07/2024,09:57,AG004,Lucas García,Mañana,Ventas,2,Reclamo,Inbound,Santa Fe,419,1,1,0,6.0,4,0,,SVC_AR_2024
CALL-03066,2024-11-08,15:33,AG006,Nicolás Pérez,Noche,Cobranzas,1,Soporte Técnico,Inbound,Santa Fe,548,1,0,1,7.0,1,0,,SVC_AR_2024
CALL-04956,2024-06-10,14:28,AG012,Ignacio Herrera,Noche,Ventas,2,Venta,Callback,Tucumán,410,1,0,0,10.0,4,0,,SVC_AR_2024
CALL-04241,2024-03-18,16:02,AG013,Micaela Ruiz,Mañana,Atención al Cliente,7,Cobranza,Inbound,Santa Fe,294,1,1,0,5.0,5,0,,SVC_AR_2024
CALL-04657,2024-05-28,15:32,AG012,Ignacio Herrera,Noche,Ventas,2,Consulta,Callback,Santa Fe,266,1,0,0,8.0,3,0,,SVC_AR_2024
CALL-03131,2024-11-07,08:01,AG002,Martín Rodríguez,Tarde,Cobranzas,1,Venta,Chat derivado a voz,CABA,379,1,0,0,9.0,3,0,,SVC_AR_2024
CALL-02182,2024-02-25,16:49,AG014,Sebastián Castro,Tarde,Cobranzas,1,Baja de Servicio,Chat derivado a voz,Buenos Aires,339,1,1,0,9.0,5,0,,SVC_AR_2024
CALL-03415,2024-10-08,11:28,AG002,Martín Rodríguez,Tarde,Cobranzas,1,Reclamo,Chat derivado a voz,CABA,398,1,0,0,9.0,3,0,,SVC_AR_2024
CALL-00882,2024-07-29,18:03,AG006,Nicolás Pérez,Noche,Cobranzas,1,Venta,Chat derivado a voz,Mendoza,458,1,0,0,7.0,4,0,,SVC_AR_2024
CALL-04223,2024-12-02,07:18,AG011,Julieta Morales,Tarde,Soporte Técnico,4,Cobranza,Callback,Santa Fe,193,0,1,0,4.0,4,0,,SVC_AR_2024
CALL-04570,2024-02-19,10:10,AG007,Florencia Torres,Mañana,Soporte Técnico,6,Venta,Callback,CABA,474,0,1,0,3.0,4,0,,SVC_AR_2024
CALL-03894,2024-07-02,07:20,AG002,Martín Rodríguez,Tarde,Cobranzas,1,Consulta,Callback,Mendoza,271,1,0,0,10.0,5,0,,SVC_AR_2024
CALL-00554,2024-03-12,21:10,AG001,Valentina López,Mañana,Atención al Cliente,3,Cobranza,Chat derivado a voz,Buenos Aires,361,1,0,0,10.0,3,0,,SVC_AR_2024
CALL-00734,2024-08-25,17:35,AG010,Tomás González,Mañana,Cobranzas,1,Cobranza,Chat derivado a voz,Santa Fe,387,1,0,0,9.0,2,0,,SVC_AR_2024
CALL-00180,2024-12-31,09:32,AG002,Martín Rodríguez,Tarde,Cobranzas,1,Venta,Callback,Santa Fe,370,1,0,0,8.0,4,0,,SVC_AR_2024
CALL-00417,2024-10-20,19:54,AG001,Valentina López,Mañana,Atención al Cliente,3,Baja de Servicio,Outbound,Mendoza,380,1,0,0,7.0,5,1,Enfermedad,SVC_AR_2024
CALL-00080,2024-03-31,15:39,AG003,Camila Fernández,Noche,Soporte Técnico,5,Soporte Técnico,Callback,Santa Fe,494,0,0,0,7.0,5,0,,SVC_AR_2024
CALL-00473,2024-03-25,19:01,AG013,Micaela Ruiz,Mañana,Atención al Cliente,7,Reclamo,Outbound,Buenos Aires,431,1,1,0,6.0,3,0,,SVC_AR_2024
CALL-00671,2024-11-16,16:15,AG006,Nicolás Pérez,Noche,Cobranzas,1,Venta,Inbound,Tucumán,502,0,1,0,7.0,5,1,,SVC_AR_2024
CALL-04909,2024-06-17,11:18,AG014,Sebastián Castro,Tarde,Cobranzas,1,Soporte Técnico,Inbound,Mendoza,492,1,0,0,9.0,5,0,,SVC_AR_2024
CALL-01502,2024-02-09,19:08,AG007,Florencia Torres,Mañana,Soporte Técnico,6,Baja de Servicio,Inbound,Buenos Aires,441,1,0,0,8.0,5,0,,SVC_AR_2024
CALL-02803,2024-04-20,10:31,AG012,Ignacio Herrera,Noche,Ventas,2,Consulta,Outbound,Santa Fe,156,1,0,0,7.0,3,1,,SVC_AR_2024
CALL-02093,2024-04-16,07:51,AG015,Carolina Jiménez,Noche,Soporte Técnico,3,Reclamo,Callback,CABA,396,1,0,0,9.0,1,0,,SVC_AR_2024
CALL-00249,2024-03-29,21:58,AG007,Florencia Torres,Mañana,Soporte Técnico,6,Venta,Chat derivado a voz,Mendoza,421,0,1,0,5.0,4,0,,SVC_AR_2024
CALL-00539,2024-06-18,18:08,AG010,Tomás González,Mañana,Cobranzas,1,Soporte Técnico,Chat derivado a voz,Mendoza,390,1,0,0,10.0,4,0,,SVC_AR_2024
CALL-01346,2024-08-20,11:54,AG005,Sofía Martínez,Tarde,Atención al Cliente,4,Baja de Servicio,Outbound,Córdoba,316,1,0,0,7.0,4,0,,SVC_AR_2024
CALL-04699,2024-10-03,17:32,AG010,Tomás González,Mañana,Cobranzas,1,Baja de Servicio,Callback,Santa Fe,456,1,0,0,8.0,3,0,,SVC_AR_2024
CALL-01271,2024-04-28,13:51,AG002,Martín Rodríguez,Tarde,Cobranzas,1,Baja de Servicio,Outbound,Mendoza,404,0,1,0,6.0,4,0,,SVC_AR_2024
CALL-00229,2024-10-22,15:41,AG001,Valentina López,Mañana,Atención al Cliente,3,Baja de Servicio,Inbound,Santa Fe,399,1,0,0,6.0,3,0,,SVC_AR_2024
CALL-00298,2024-01-05,13:32,AG012,Ignacio Herrera,Noche,Ventas,2,Reclamo,Callback,Tucumán,329,1,0,0,6.0,4,0,,SVC_AR_2024
CALL-02821,2024-04-05,07:57,AG010,Tomás González,Mañana,Cobranzas,1,Reclamo,Inbound,CABA,435,1,0,0,9.0,3,0,,SVC_AR_2024
CALL-03723,2024-11-12,11:22,AG003,Camila Fernández,Noche,Soporte Técnico,5,Consulta,Inbound,Rosario,206,0,1,0,5.0,2,0,,SVC_AR_2024
CALL-01184,2024-06-25,19:30,AG007,Florencia Torres,Mañana,Soporte Técnico,6,Reclamo,Outbound,Tucumán,462,1,0,0,7.0,4,0,,SVC_AR_2024
CALL-02060,2024-09-22,11:39,AG011,Julieta Morales,Tarde,Soporte Técnico,4,Consulta,Inbound,Tucumán,199,1,1,0,5.0,4,0,,SVC_AR_2024
CALL-00466,2024-04-02,09:31,AG006,Nicolás Pérez,Noche,Cobranzas,1,Baja de Servicio,Inbound,CABA,400,1,0,0,10.0,3,1,,SVC_AR_2024
CALL-02992,2024-06-03,07:08,AG012,Ignacio Herrera,Noche,Ventas,2,Cobranza,Callback,CABA,420,0,1,0,,4,0,,SVC_AR_2024
CALL-00506,2024-05-30,21:51,AG007,Florencia Torres,Mañana,Soporte Técnico,6,Venta,Chat derivado a voz,Rosario,451,0,0,0,7.0,2,0,,SVC_AR_2024
CALL-04081,2024-03-28,14:29,AG015,Carolina Jiménez,Noche,Soporte Técnico,3,Baja de Servicio,Callback,Buenos Aires,400,1,0,0,7.0,3,0,,SVC_AR_2024
CALL-03173,2024-07-16,15:36,AG015,Carolina Jiménez,Noche,Soporte Técnico,3,Reclamo,Inbound,Córdoba,407,1,0,0,9.0,3,0,,SVC_AR_2024
CALL-02094,2024-11-01,07:15,AG009,Lucía Ramírez,Noche,Atención al Cliente,3,Reclamo,Callback,Córdoba,310,0,0,0,9.0,4,0,,SVC_AR_2024
CALL-01670,2024-11-19,08:50,AG015,Carolina Jiménez,Noche,Soporte Técnico,3,Soporte Técnico,Outbound,Tucumán,518,1,0,0,9.0,3,0,,SVC_AR_2024
CALL-01753,2024-09-02,10:07,AG001,Valentina López,Mañana,Atención al Cliente,3,Soporte Técnico,Outbound,CABA,573,1,0,0,9.0,3,0,,SVC_AR_2024
CALL-04785,2024-09-15,12:28,AG005,Sofía Martínez,Tarde,Atención al Cliente,4,Soporte Técnico,Outbound,Tucumán,431,1,0,0,8.0,4,0,,SVC_AR_2024
CALL-02654,2024-10-24,16:58,AG001,Valentina López,Mañana,Atención al Cliente,3,Venta,Chat derivado a voz,Rosario,468,0,1,0,4.0,5,1,Licencia,SVC_AR_2024
CALL-00427,2024-09-08,11:03,AG010,Tomás González,Mañana,Cobranzas,1,Cobranza,Chat derivado a voz,Rosario,365,1,0,0,7.0,4,0,,SVC_AR_2024
CALL-01259,2024-01-17,12:32,AG001,Valentina López,Mañana,Atención al Cliente,3,Baja de Servicio,Callback,Tucumán,370,1,0,0,9.0,3,0,,SVC_AR_2024
CALL-01074,2024-02-17,12:06,AG015,Carolina Jiménez,Noche,Soporte Técnico,3,Venta,Callback,CABA,360,1,0,0,9.0,4,0,,SVC_AR_2024
CALL-02907,2024-10-14,20:48,AG005,Sofía Martínez,Tarde,Atención al Cliente,4,Baja de Servicio,Callback,Tucumán,318,0,0,0,6.0,4,0,,SVC_AR_2024
CALL-03892,2024-06-18,07:06,AG013,Micaela Ruiz,Mañana,Atención al Cliente,7,Baja de Servicio,Callback,Santa Fe,509,1,1,0,3.0,3,0,,SVC_AR_2024
CALL-04872,2024-11-11,14:27,AG008,Agustín Sánchez,Tarde,Ventas,2,Consulta,Chat derivado a voz,CABA,165,1,0,0,10.0,4,0,,SVC_AR_2024
CALL-00658,2024-03-10,22:35,AG012,Ignacio Herrera,Noche,Ventas,2,Reclamo,Outbound,Mendoza,340,0,1,0,3.0,3,0,,SVC_AR_2024
CALL-00394,2024-04-16,21:19,AG009,Lucía Ramírez,Noche,Atención al Cliente,3,Venta,Inbound,Buenos Aires,511,0,0,0,5.0,4,0,,SVC_AR_2024
CALL-03394,2024-12-30,17:46,AG006,Nicolás Pérez,Noche,Cobranzas,1,Consulta,Outbound,Rosario,104,0,1,1,2.0,4,0,,SVC_AR_2024
CALL-00280,2024-12-26,08:15,AG010,Tomás González,Mañana,Cobranzas,1,Baja de Servicio,Outbound,Mendoza,468,0,1,0,4.0,4,0,,SVC_AR_2024
CALL-03719,2024-12-18,13:25,AG015,Carolina Jiménez,Noche,Soporte Técnico,3,Reclamo,Callback,CABA,394,1,0,0,9.0,4,0,,SVC_AR_2024
CALL-04580,2024-06-10,13:28,AG005,Sofía Martínez,Tarde,Atención al Cliente,4,Venta,Outbound,Santa Fe,487,1,1,0,7.0,5,1,,SVC_AR_2024
